prompt,completion,result
"An electronics store wants to optimize how many phones and laptops are enough to keep in inventory. A phone will earn the store 120 in profits, and a laptop will earn 40. A phone requires 1 sq ft of floor space, whereas a laptop requires 4 sq ft. In total, 400 sq ft of floor space is available. The store stocks only phones and laptops. Corporate has required that at least 80% of all appliances in stock be laptops. Finally, a phone costs 400 for the store, and a laptop, 100. The store wants to spend at most 6000. Formulate an LP that can be used to maximize the store's profit.","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of phones
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of laptops

# Objective function: maximize profit
prob += 120 * x + 40 * y, ""Total_Profit""

# Constraints
prob += x + 4 * y <= 400, ""Floor_Space_Constraint""
prob += y >= 0.8 * (x + y), ""Laptop_Percentage_Constraint""
prob += 400 * x + 100 * y <= 6000, ""Budget_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",2400
"A candy store mixes regular candy and sour candy to prepare two products, regular mix and sour surprise mix. Each kilogram of the regular mix contains 0.8 kg of regular candy and 0.2 kg of sour candy. The profit per kilogram of the regular mix is 3. Each kilogram of the sour surprise mix contains 0.1 kg of regular candy and 0.9 kg of sour candy. The profit per kilogram of the sour surprise mix is 5. The candy store has 80 kg of regular candy and 60 kg of sour candy available. How many kilograms of each type of candy mix should be created to maximize profits?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0)  # Kilograms of regular mix
y = LpVariable('y', lowBound=0)  # Kilograms of sour surprise mix

# Objective function: maximize profit
prob += 3 * x + 5 * y, ""Total_Profit""

# Constraints
prob += 0.8 * x + 0.1 * y <= 80, ""Regular_Candy_Constraint""
prob += 0.2 * x + 0.9 * y <= 60, ""Sour_Candy_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",511.428572
A suspicious factory has 100 sq. feet of space. It makes bootleg phones and laptops. Phones require 2 hours of labor and cost 12 for each sq. foot of space allocated for phone production (cost of electricity and equipment). Laptops require 3 hours of labor and cost 15 for each sq. foot of space allocated for laptop production. Phones produce a net revenue of 50 per sq. foot while laptops produce a net revenue of 70 per sq. foot. The factory wants to spend at most 5000 and 2000 hours of labor. What is the optimal factory layout to maximize revenue?,"from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Revenue"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Square feet for phone production
y = LpVariable('y', lowBound=0, cat='Continuous')  # Square feet for laptop production

# Objective function: maximize revenue
prob += 50 * x + 70 * y, ""Total_Revenue""

# Constraints
prob += x + y <= 100, ""Space_Constraint""
prob += 12 * x + 15 * y <= 5000, ""Cost_Constraint""
prob += 2 * x + 3 * y <= 2000, ""Labor_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",7000
A electronics store sells premium desktops with more power as well as regular desktops for everyday use. Each premium desktop costs the store 2000 to make and yields a profit of 500. Each regular desktop costs the store 1000 to make and yields a profit of 300. The store sells at most 200 desktops each month and wants to spend at most 300000 on making the desktops. How many of each should be made and sold to maximize profit?,"from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of premium desktops
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of regular desktops

# Objective function: maximize profit
prob += 500 * x + 300 * y, ""Total_Profit""

# Constraints
prob += x + y <= 200, ""Production_Constraint""
prob += 2000 * x + 1000 * y <= 300000, ""Cost_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",80000
"A car manufacturer makes two versions of the same car, a regular model and a premium model. They make x1 regular models per day and x2 premium models per day. The profit per regular model is 5000 and the profit per premium model is 8500 (x1 and x2 are unknown values both greater than or equal to 0). The daily demand for these cars is limited to and most 8 regular models and 6 premium models. In addition, the manufacturer can make a maximum of 12 cars of either type per day. How many cars of each model should the manufacturer make in order to maximize profit?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Profit"", LpMaximize)

# Define the decision variables
x1 = LpVariable('x1', lowBound=0, upBound=8, cat='Integer')  # Number of regular models
x2 = LpVariable('x2', lowBound=0, upBound=6, cat='Integer')  # Number of premium models

# Objective function: maximize profit
prob += 5000 * x1 + 8500 * x2, ""Total_Profit""

# Constraints
prob += x1 + x2 <= 12, ""Production_Capacity""
# Demand constraints are already included in the variable definitions

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",81000
"You are designing an office space with two types of desks: long desks and short desks. You can spend at most 2000. Long desks cost 300, take up 10 square feet of space, and seat 6 employees. Short desks cost $100, take up 4 square feet of space, and seat 2 employees. The office can have at most 200 square feet of desks. How many of each desk should you buy in order to maximize the seating availability?","from pulp import *

# Define the LP maximization problem
prob = LpProblem(""Maximize_Seating_Capacity"", LpMaximize)

# Define the decision variables
x1 = LpVariable('x1', lowBound=0, cat='Integer')  # Number of long desks
x2 = LpVariable('x2', lowBound=0, cat='Integer')  # Number of short desks

# Objective function: maximize seating capacity
prob += 6 * x1 + 2 * x2, ""Total_Seating_Capacity""

# Constraints
prob += 300 * x1 + 100 * x2 <= 2000, ""Budget_Constraint""
prob += 10 * x1 + 4 * x2 <= 200, ""Space_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",40
Ayse produces a plant growth compound by mixing two types of fertilizer: C and Y. This growth compound must contain at least 5 units of nitrous oxide and 8 units of vitamin mix. Fertilizer C and Y cost 2 and 3 per kg respectively. Fertilizer C contains 1.5 units of nitrous oxide per kg and 3 units of vitamin mix per kg. Fertilizer Y contains 5 units of nitrous oxide per kg and 1 unit of vitamin mix per kg. Determine the minimum cost of Ayse's compound.,"#
from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Cost"", LpMinimize)

# Create variables
x = LpVariable('x', lowBound=0, cat='Continuous')  # Kilograms of fertilizer C
y = LpVariable('y', lowBound=0, cat='Continuous')  # Kilograms of fertilizer Y

# Objective function
prob += 2 * x + 3 * y, ""Total Cost""

# Constraints
prob += 1.5 * x + 5 * y >= 5, ""Nitrous oxide requirement""
prob += 3 * x + y >= 8, ""Vitamin mix requirement""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",5.85185186
"Sleep inducing medicine and anti-inflammatory medicine is found in two pills, pill A and pill B. One pill A contains 3 units of sleep inducing medicine and 5 units of anti-inflammatory medicine. One pill B contains 6 units of sleep-inducing medicine and 1 unit of anti-inflammatory medicine. The cost per pill for pill A is 4 and the cost per pill for pill B is 5. A patient must consume these two pills to get at least 40 units of sleep-inducing medicine and 50 units of anti-inflammatory medicine. Formulate a LP to minimize the cost for the patient.","from pulp import *

# Create a LP problem
prob = LpProblem(""Minimize Cost"", LpMinimize)

# Create variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of pill A
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of pill B

# Objective function
prob += 4 * x + 5 * y, ""Total Cost""

# Constraints
prob += 3 * x + 6 * y >= 40, ""Sleep-inducing medicine requirement""
prob += 5 * x + y >= 50, ""Anti-inflammatory medicine requirement""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",50
"A car manufacturer makes two types of car oils: Oil Max and Oil Max Pro. A container of Oil Max contains 46 grams of substance A, 43 grams of substance B and 56 grams of substance C. A container of Oil Max Pro contains 13 grams of substance A, 4 grams of substance B and 45 grams of substance C. The car manufacturer has 1345 grams of substance A, 346 grams of substance B, 1643 grams of substance C. In addition, the profit per container of Oil Max is 10 and the profit per container of Oil Max Pro is 15. How many containers of each of oil should the car manufacturer make to maximize profit?","from pulp import *

# Create a LP problem
prob = LpProblem(""Maximize Profit"", LpMaximize)

# Create variables
x = LpVariable('x', lowBound=0, cat='Integer')  # Number of containers of Oil Max
y = LpVariable('y', lowBound=0, cat='Integer')  # Number of containers of Oil Max Pro

# Objective function
prob += 10 * x + 15 * y, ""Total Profit""

# Constraints
prob += 46 * x + 13 * y <= 1345, ""Substance A constraint""
prob += 43 * x + 4 * y <= 346, ""Substance B constraint""
prob += 56 * x + 45 * y <= 1643, ""Substance C constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",540
A food truck owner can spend at most 20000 on mangos and guavas. A mango costs the food truck owner 5 and a guava costs him 3. Spices are added and each mango is sold for a profit of 3 while each guava is sold for a profit of 4. The owner estimates that at least 100 mangos but at the most 150 are sold each month. He also estimates that the number of guavas sold is at most a third of the mangos sold. How many mangos and guavas should be sold in order to maximize the profit?,"#
from pulp import *

# Create a LP Minimization problem
prob = LpProblem(""Maximize Profit"", LpMaximize)

# Variables
x = LpVariable('x', lowBound=100, upBound=150, cat='Integer')  # Number of mangos (100 <= x <= 150)
y = LpVariable('y', lowBound=0, upBound=50, cat='Integer')    # Number of guavas (y <= 1/3 * x)

# Objective function
prob += 3 * x + 4 * y, ""Maximize_Profit""

# Constraints
prob += 5 * x + 3 * y <= 20000, ""Cost_Constraint""

# Solve the problem
prob.solve()

if LpStatus[prob.status] == ""Infeasible"":
    print(None)
else:
    print(f""{value(prob.objective)}"")",650
